sample_id,fate_OL_lineage,p_ol_nb,condition,prediction_is_ol
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.17454188,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.239841,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.17606151,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.19810238,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.1763941,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.18444806,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16504608,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.17406268,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.20391278,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.17226963,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
GSM8253796,1,0.83556485,NesCre_Cntl_Rep1_3wksRecov,1
GSM8253796,0,0.16432524,NesCre_Cntl_Rep1_3wksRecov,0
