velocity_label,n_TAPs,cellrank_n_OL,cellrank_mean_P_OL,cellrank_n_NB,cellrank_mean_P_NB,ml_n_OL,ml_mean_P_OL,ml_n_NB,ml_mean_P_NB,bias_n_OL,bias_mean
CD1_Cntl,568,158,0.385,410,0.615,58,0.264,510,0.736,45,-0.816
CD1_Cntl_3wks,746,182,0.348,564,0.652,78,0.269,668,0.731,50,-0.751
CD1_CupRap,320,85,0.373,235,0.627,36,0.262,284,0.738,20,-0.78
CD1_CupRap_0wks_Rep1,90,26,0.374,64,0.626,10,0.267,80,0.733,6,-0.812
CD1_CupRap_0wks_Rep2,77,45,0.564,32,0.436,29,0.434,48,0.566,27,-0.343
CD1_CupRap_Rep2,275,71,0.348,204,0.652,27,0.259,248,0.741,30,-0.684
Cntl,541,132,0.357,409,0.643,45,0.258,496,0.742,33,-0.837
Cntl_Rep2,290,84,0.365,206,0.635,25,0.259,265,0.741,29,-0.735
CupRap_Rep1,302,93,0.419,209,0.581,31,0.28,271,0.72,41,-0.691
CupRap_Rep2,388,86,0.334,302,0.666,27,0.249,361,0.751,17,-0.848
