gene,shap_mean_abs,gain,direction
Stmn2,0.4155366,1533.019043,NEGATIVE_OL
Pllp,0.19870216,64.55348969,POSITIVE_OL
Tmsb10,0.18409987,1219.303955,NEGATIVE_OL
Meis2,0.13292602,36.25967026,NEGATIVE_OL
Dlx6os1,0.110378265,139.7821045,NEGATIVE_OL
Igfbpl1,0.103265315,362.9441223,NEGATIVE_OL
Sox11,0.102634616,73.6762619,NEGATIVE_OL
Gjc3,0.06109,203.6281281,POSITIVE_OL
Fa2h,0.04636422,83.75476837,POSITIVE_OL
Tubb2b,0.040216193,14.90206718,NEGATIVE_OL
Ccnd2,0.031058017,60.63632965,NEGATIVE_OL
Nfib,0.024917413,31.00040627,NEGATIVE_OL
Arx,0.02253585,16.19200516,NEGATIVE_OL
Cryab,0.017332312,15.92836189,POSITIVE_OL
Car2,0.015810074,10.55574989,POSITIVE_OL
Apod,0.015241384,11.38011932,POSITIVE_OL
Tnr,0.014189169,26.81448364,POSITIVE_OL
Tiam2,0.011075848,4.703536034,NEGATIVE_OL
Bcl11a,0.010804362,7.627588749,NEGATIVE_OL
Hmgn2,0.010602247,6.011555672,NEGATIVE_OL
Stmn1,0.009860532,52.34667969,NEGATIVE_OL
Cdca7,0.008889286,22.14154053,NEGATIVE_OL
Ppp1r16b,0.00884303,15.89294434,POSITIVE_OL
Sytl2,0.006694478,12.5032959,POSITIVE_OL
Ptn,0.006176928,9.973324776,POSITIVE_OL
Ugt8a,0.005981429,10.56103516,POSITIVE_OL
Tmem88b,0.005492528,4.244995117,POSITIVE_OL
Nrxn3,0.005362361,11.57002544,NEGATIVE_OL
Arap2,0.005286868,8.636566162,POSITIVE_OL
Islr2,0.00470338,10.01782227,NEGATIVE_OL
Crmp1,0.004571603,3.920928955,NEGATIVE_OL
Nsg2,0.004143296,6.416748047,NEGATIVE_OL
Pbx3,0.003893763,6.427818298,NEGATIVE_OL
Nkx6-2,0.003732149,3.879333496,POSITIVE_OL
Sox4,0.003520967,4.498092651,NEGATIVE_OL
Pbx1,0.003109253,6.266157627,NEGATIVE_OL
Stmn3,0.002963209,9.832183838,NEGATIVE_OL
Gm17750,0.002961705,2.573130369,NEGATIVE_OL
Dlx5,0.002839136,2.409088135,NEGATIVE_OL
Celf4,0.002801141,1.685913086,NEGATIVE_OL
Plekhb1,0.002457834,17.33855247,POSITIVE_OL
Enpp2,0.002448872,4.380419731,POSITIVE_OL
Lrp1b,0.002441339,4.16887331,POSITIVE_OL
Adam23,0.002413625,2.890218019,POSITIVE_OL
Secisbp2l,0.00230661,0.513305664,POSITIVE_OL
Xylt1,0.002143829,8.063972473,POSITIVE_OL
S100b,0.002127664,10.51957417,POSITIVE_OL
Robo2,0.002082747,1.888183594,NEGATIVE_OL
Tuba1a,0.00187531,10.12011719,NEGATIVE_OL
Fbxo2,0.001837279,10.19567871,POSITIVE_OL
