rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000033579.17,Fa2h,60.74,0.46833399943825804,0.5388177366887027,15.0,0.041418273,0
2,ENSMUSG00000100147.4,1700047M11Rik,48.36,0.3943375507558647,0.6142321438602102,,,0
3,ENSMUSG00000049807.17,Arhgap23,46.47,0.29347555163482775,0.6554866723414319,,,0
4,ENSMUSG00000097736.9,9530059O14Rik,40.44,0.15431349772796477,0.6156547741666505,,,0
5,ENSMUSG00000038011.16,Dnah10,29.88,0.257999210984061,0.3557794099995325,,,0
6,ENSMUSG00000034903.19,Cobll1,29.14,0.3270060003082603,0.7548622764052729,,,0
7,ENSMUSG00000019846.12,Lama4,28.5,0.30240888568701907,0.55843184211265,,,0
8,ENSMUSG00000032854.13,Ugt8a,25.12,0.455364431526559,0.45862849376582293,,,0
9,ENSMUSG00000056966.8,Gjc3,24.56,0.2882999567617241,0.615485922576383,10.0,0.087161675,0
10,ENSMUSG00000048537.17,Phldb1,24.28,0.35705668624755205,0.6929060329372899,,,0
11,ENSMUSG00000030516.15,Tjp1,23.48,0.12428476106784514,0.7894329128012842,,,0
12,ENSMUSG00000044772.3,Sntn,23.05,0.2863368158081544,0.4633610942180261,,,0
13,ENSMUSG00000040690.16,Col16a1,21.96,0.15955198916769386,0.7114411845992664,,,0
14,ENSMUSG00000036634.16,Mag,21.02,0.2079157491836674,0.631098898580452,,,1
15,ENSMUSG00000020486.20,Septin4,20.61,0.40935478284518234,0.6385562725161695,,,0
16,ENSMUSG00000042961.14,Egflam,20.17,0.3486356699466302,0.5586016708673931,,,0
17,ENSMUSG00000025375.16,Aatk,19.35,0.24312103971922971,0.5443171579398566,,,0
18,ENSMUSG00000097156.9,Gm3764,18.53,0.1939032784863334,0.8539336199361284,,,0
19,ENSMUSG00000016128.15,Stard13,18.48,0.21934571892791904,0.8257178699125879,,,0
20,ENSMUSG00000032434.10,Cmtm6,18.26,0.22633318674393185,0.6011929962513197,,,0
21,ENSMUSG00000001930.18,Vwf,17.57,0.10507860106862639,0.37771814117052394,,,0
22,ENSMUSG00000037625.8,Cldn11,17.1,0.5883197826668137,0.5448439932303611,,,1
23,ENSMUSG00000062760.12,Shisal1,17.1,0.1934631993417841,0.5298898807509425,,,0
24,ENSMUSG00000028517.9,Plpp3,16.88,0.32151154868877785,0.8390514021516758,,,0
25,ENSMUSG00000033006.11,Sox10,16.52,0.37597006399685706,0.6228882147546898,,,1
26,ENSMUSG00000056602.14,Fry,16.51,0.22906313651843638,0.6735661654047939,,,0
27,ENSMUSG00000020154.11,Ptprb,16.43,0.3509567709687961,0.3589681912795788,,,1
28,ENSMUSG00000059498.14,Fcgr3,15.68,0.2916883897691656,0.5321167215462759,,,0
29,ENSMUSG00000021294.8,Kif26a,15.6,0.24633021867108165,0.7850877909905946,,,0
30,ENSMUSG00000048285.10,Frmd6,15.4,0.19322665619531743,0.5549854345128273,,,0
