rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000100147.4,1700047M11Rik,28.87,0.361468401055126,0.6157310471483938,,,0
2,ENSMUSG00000049807.17,Arhgap23,27.57,0.3136296712952283,0.6186999064551335,,,0
3,ENSMUSG00000097736.9,9530059O14Rik,27.06,0.1182360866535638,0.6138193591245098,,,0
4,ENSMUSG00000048537.17,Phldb1,18.1,0.3171515705523594,0.661099723886943,,,0
5,ENSMUSG00000034903.19,Cobll1,16.54,0.32828969099248245,0.7563197082958876,,,0
6,ENSMUSG00000001930.18,Vwf,15.27,0.10194708649005882,0.38769371148668297,,,0
7,ENSMUSG00000033579.17,Fa2h,14.23,0.546761366065422,0.5589184308622099,9.0,0.04636422,0
8,ENSMUSG00000040690.16,Col16a1,13.3,0.12725202015971507,0.6975134794315739,,,0
9,ENSMUSG00000021703.10,Serinc5,13.24,0.2547084006870845,0.6096783389918715,,,0
10,ENSMUSG00000032854.13,Ugt8a,13.12,0.46067588825146905,0.4699265483358583,26.0,0.0059814285,0
11,ENSMUSG00000019846.12,Lama4,12.09,0.2883912935134142,0.5708484687021924,,,0
12,ENSMUSG00000056966.8,Gjc3,11.08,0.2906508296496222,0.6185907844141382,8.0,0.06109,0
13,ENSMUSG00000063297.8,Luzp2,10.63,0.40995528356008426,0.8453276759810731,,,0
14,ENSMUSG00000027199.15,Gatm,10.16,0.2930932830266621,0.881373480491552,,,0
15,ENSMUSG00000056602.14,Fry,9.76,0.2321323247305813,0.6665128916257577,,,0
16,ENSMUSG00000052861.14,Dnah6,9.3,0.46530791966444063,0.3366990922696122,,,0
17,ENSMUSG00000044921.6,Rassf9,9.16,0.3453129572463856,0.34710918041582167,,,0
18,ENSMUSG00000000142.16,Axin2,8.98,0.18543785686534375,0.7520234494227527,,,0
19,ENSMUSG00000038173.16,Enpp6,8.85,0.1275727090458576,0.5269854641176447,,,0
20,ENSMUSG00000027966.21,Col11a1,8.64,0.18753708247392822,0.8267442811744508,,,0
21,ENSMUSG00000048285.10,Frmd6,8.59,0.1944123278134155,0.5399461129752221,,,0
22,ENSMUSG00000097156.9,Gm3764,8.0,0.254552967911848,0.8563528979101855,,,0
23,ENSMUSG00000037625.8,Cldn11,7.77,0.5357691110289843,0.5234657452327036,,,1
24,ENSMUSG00000028517.9,Plpp3,7.69,0.31826601906695173,0.8162858640100791,,,0
25,ENSMUSG00000025375.16,Aatk,7.5,0.2457829522895662,0.5333906856224647,,,0
26,ENSMUSG00000029755.11,Dlx5,7.03,0.2931895863810702,0.8535998463995987,39.0,0.002839136,0
27,ENSMUSG00000032625.15,Thsd7a,7.01,0.21499060047341728,0.8315506646611367,,,0
28,ENSMUSG00000021294.8,Kif26a,6.98,0.2412206941818955,0.778357126695733,,,0
29,ENSMUSG00000041617.11,Ccdc74a,6.98,0.11037591974703843,0.4678473639784833,,,0
30,ENSMUSG00000038453.18,Srcin1,6.97,0.2887318512992563,0.7880621165794198,,,0
31,ENSMUSG00000036098.16,Myrf,6.41,0.30303902797916665,0.6155496707764065,,,0
32,ENSMUSG00000022272.18,Myo10,6.4,0.23225834209734667,0.5324852079658111,,,0
33,ENSMUSG00000055322.17,Tns1,6.35,0.22010335022892996,0.8111628414968513,,,0
34,ENSMUSG00000021696.10,Elovl7,6.27,0.28434937647151903,0.6796311029445604,,,0
35,ENSMUSG00000033595.8,Lgi3,6.25,0.3723805038235146,0.6153912610513653,,,0
36,ENSMUSG00000032035.17,Ets1,6.05,0.18221265389308028,0.7878730360570465,,,0
37,ENSMUSG00000045287.7,Rtn4rl1,6.03,0.2750122431296806,0.7830740314774631,,,0
38,ENSMUSG00000032434.10,Cmtm6,5.93,0.2219478238320634,0.571670673460477,,,0
39,ENSMUSG00000035126.20,Dnai4,5.81,0.25277830273500546,0.433827496348368,,,0
40,ENSMUSG00000025558.20,Dock9,5.76,0.21268274498588732,0.7279793198849187,,,0
