rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000033579.17,Fa2h,26.73,0.5003063572942142,0.4790531217967169,16.0,0.027719172,0
2,ENSMUSG00000049807.17,Arhgap23,22.62,0.3045609523538371,0.6279271811624053,,,0
3,ENSMUSG00000100147.4,1700047M11Rik,20.94,0.3936507932019037,0.5436017423201535,,,0
4,ENSMUSG00000026424.9,Gpr37l1,19.03,0.17994512261269224,0.6300762045487791,,,0
5,ENSMUSG00000025757.14,Hspa4l,18.94,0.15698412402670386,0.6754390884923785,,,0
6,ENSMUSG00000024935.12,Slc1a1,17.66,0.10476367512119349,0.3583527057843104,,,0
7,ENSMUSG00000021294.8,Kif26a,14.58,0.26155226803329956,0.788287818031349,,,0
8,ENSMUSG00000034903.19,Cobll1,14.4,0.37350834049963477,0.7483698108006936,,,0
9,ENSMUSG00000020154.11,Ptprb,14.07,0.41394101187370996,0.35910623792036095,,,1
10,ENSMUSG00000018008.9,Cyth4,13.95,0.3337589374015824,0.822251168562915,,,0
11,ENSMUSG00000002603.16,Tgfb1,13.73,0.11107693111242606,0.8114551516733536,,,0
12,ENSMUSG00000042195.10,Slc35f2,13.3,0.1307548507457549,0.45718714245855796,,,0
13,ENSMUSG00000019846.12,Lama4,12.91,0.33409381266632265,0.5724876570978438,,,0
14,ENSMUSG00000030516.15,Tjp1,12.48,0.1470751053621383,0.7965672121871814,,,0
15,ENSMUSG00000059498.14,Fcgr3,12.38,0.35299603947907726,0.6224850881125515,,,0
16,ENSMUSG00000006356.11,Crip2,12.36,0.11232460779657201,0.5031575889646849,,,0
17,ENSMUSG00000020053.19,Igf1,12.34,0.3726934697775763,0.7656895778286272,,,0
18,ENSMUSG00000040759.10,Cmtm5,12.1,0.4122915613684552,0.7041283692116543,,,0
19,ENSMUSG00000033470.13,Cysltr2,11.9,0.2636811414438911,0.651398240844614,,,0
20,ENSMUSG00000015852.14,Fcrls,11.88,0.47020397319661306,0.8227942112088141,,,1
21,ENSMUSG00000029648.14,Flt1,11.62,0.22828907558133807,0.7337438367724086,,,1
