rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000059974.11,Ntm,70.4,0.3168147910397024,0.8210334773314013,,,0
2,ENSMUSG00000028128.14,F3,63.7,0.4118649076981394,0.6330083615349337,,,0
3,ENSMUSG00000024978.12,Gpam,62.72,0.3019484498164437,0.44820918162510015,,,0
4,ENSMUSG00000050953.11,Gja1,60.61,0.33851758983117314,0.6895641722589252,,,1
5,ENSMUSG00000030307.9,Slc6a11,59.83,0.3116934915287015,0.5854584245792229,,,0
6,ENSMUSG00000026679.4,Enkur,51.5,0.5198519366495219,0.4588778213018241,,,1
7,ENSMUSG00000020333.18,Acsl6,50.77,0.37824553171530906,0.7034030382487751,,,0
8,ENSMUSG00000022296.11,Baalc,49.45,0.3462868066481213,0.5382652284065433,,,0
9,ENSMUSG00000047361.17,Gm973,45.65,0.44932721473978576,0.6381846778446779,,,0
10,ENSMUSG00000030495.13,Slc7a10,45.26,0.2693754851364345,0.5263365639376305,,,0
11,ENSMUSG00000038286.12,Bphl,44.95,0.1604941433703012,0.3900376723833713,,,0
12,ENSMUSG00000022132.16,Cldn10,44.43,0.3194814049786826,0.4902974015649671,,,0
13,ENSMUSG00000040055.10,Gjb6,43.81,0.25671754780581413,0.679369884989012,,,0
14,ENSMUSG00000029167.14,Ppargc1a,42.89,0.3167975305743216,0.6773290011294212,,,0
15,ENSMUSG00000030235.18,Slco1c1,42.8,0.37407381281610563,0.5681735739421644,,,0
16,ENSMUSG00000026424.9,Gpr37l1,42.25,0.21618171815604778,0.6303009750086497,,,0
17,ENSMUSG00000024227.15,Pdzph1,41.62,0.34170916136013413,0.5922107511446708,,,0
18,ENSMUSG00000048148.19,Nwd1,41.39,0.15300940993037637,0.5619007575912147,,,0
19,ENSMUSG00000108513.3,Gm30075,38.97,0.17732834697201783,0.4993491073474065,,,0
20,ENSMUSG00000055373.9,Fut9,38.95,0.2878505323060054,0.7779493260999993,,,0
21,ENSMUSG00000027803.15,Wwtr1,38.87,0.34443201738643076,0.6868490979342963,,,0
22,ENSMUSG00000063297.8,Luzp2,35.23,0.2698193279639913,0.8692044331793463,,,0
23,ENSMUSG00000034463.5,Scara3,34.6,0.2950465322954116,0.7233673666801034,,,0
24,ENSMUSG00000021823.11,Vcl,33.16,0.3685566170721469,0.5889374037003547,,,0
25,ENSMUSG00000054252.19,Fgfr3,32.91,0.2609866549693244,0.6130296224190295,,,0
26,ENSMUSG00000020734.14,Grin2c,32.83,0.17866175013176452,0.3244462409586415,,,0
27,ENSMUSG00000018849.7,Wwc1,32.37,0.39553148216452527,0.5847431224975823,,,0
28,ENSMUSG00000021613.10,Hapln1,31.98,0.3368578345109502,0.39258200615541583,,,0
29,ENSMUSG00000004892.14,Bcan,30.41,0.310562070904656,0.4570792340143934,,,0
30,ENSMUSG00000028064.18,Sema4a,30.21,0.10546068339480058,0.4199895886996683,,,0
31,ENSMUSG00000050199.14,Lgr4,30.03,0.20451660742121403,0.7561963365382204,,,0
32,ENSMUSG00000020614.14,Fam20a,29.95,0.3206603214631238,0.6397328360552843,,,0
33,ENSMUSG00000073424.10,Cyp4f15,29.66,0.30697325230438627,0.6150396347919247,,,0
34,ENSMUSG00000048332.14,Lhfp,29.44,0.3406062867689979,0.6222759027112491,,,0
35,ENSMUSG00000010064.16,Slc38a3,29.17,0.23943161769797258,0.6799169082290608,,,0
36,ENSMUSG00000029838.12,Ptn,28.95,0.37873260114194074,0.9281677897903293,32.0,0.008155483,0
37,ENSMUSG00000027574.16,Nkain4,28.68,0.300312216330914,0.7796445765313077,,,0
38,ENSMUSG00000035126.20,Dnai4,28.53,0.20784132837003985,0.4545950784109319,,,0
39,ENSMUSG00000036949.17,Slc39a12,28.14,0.4211271677816352,0.5693502232188618,,,0
40,ENSMUSG00000040430.19,Pitpnc1,27.86,0.21870328957658905,0.7868183302430056,,,0
41,ENSMUSG00000030605.16,Mfge8,27.46,0.35960069033311604,0.5815177801224324,,,0
42,ENSMUSG00000037747.10,Phyhipl,26.86,0.21336440010119484,0.8289445878742497,,,0
43,ENSMUSG00000032231.15,Anxa2,26.65,0.20345333680479508,0.47678271627285584,,,0
44,ENSMUSG00000019892.14,Lrriq1,26.58,0.33909075248530396,0.5229664524495262,,,0
45,ENSMUSG00000020799.17,Tekt1,26.32,0.5404280473689627,0.5351811882556448,,,0
46,ENSMUSG00000005360.15,Slc1a3,25.89,0.33725908749693073,0.8753730272379625,,,1
47,ENSMUSG00000037999.14,Arap2,25.88,0.30870697393663954,0.9262647926629716,,,0
48,ENSMUSG00000035805.14,Mlc1,25.22,0.37200530050176844,0.573613468938666,,,0
49,ENSMUSG00000048960.14,Prex2,25.11,0.29541554517051755,0.5731695914953183,,,0
50,ENSMUSG00000032377.9,Plscr4,24.9,0.1813306979382245,0.7560865130212422,,,0
51,ENSMUSG00000073102.8,Drc1,24.29,0.5789062099989816,0.4541138864446213,,,0
52,ENSMUSG00000022122.16,Ednrb,23.7,0.33271093934251655,0.708311421632631,,,0
53,ENSMUSG00000027676.12,Ccdc39,23.47,0.2765546865171347,0.4527896949124579,,,0
54,ENSMUSG00000056598.17,Drc3,23.19,0.43203686769206234,0.30304298190641654,,,0
55,ENSMUSG00000019789.10,Hey2,22.8,0.23043039453853947,0.7527762198360458,,,0
56,ENSMUSG00000031604.11,Msmo1,22.79,0.22061390638367478,0.6877591571783914,,,0
57,ENSMUSG00000052914.5,Cyp2j6,22.16,0.2986144082507719,0.6797462046600018,,,0
58,ENSMUSG00000008575.18,Nfib,21.58,0.757814005194501,0.9609660774647002,17.0,0.023516482,0
59,ENSMUSG00000023913.18,Pla2g7,21.54,0.29433626768078364,0.5810987694990942,,,0
60,ENSMUSG00000030701.18,Plekhb1,21.4,0.5196004549567181,0.6313473518625976,,,0
61,ENSMUSG00000039199.7,Zdhhc1,21.16,0.13431119344192197,0.3817338850733303,,,0
62,ENSMUSG00000017144.9,Rnd3,20.84,0.38802729769426825,0.8845466520949937,,,0
63,ENSMUSG00000047409.14,Ctdspl,20.74,0.2543720240743597,0.7673196709983156,,,0
64,ENSMUSG00000054196.8,Cthrc1,20.39,0.1070846239217824,0.6547604636085365,,,0
65,ENSMUSG00000025964.16,Adam23,19.93,0.3525194578418025,0.7675348812348446,,,0
66,ENSMUSG00000071550.15,Cfap44,19.85,0.45929022166041317,0.42408539300367487,,,1
67,ENSMUSG00000027221.6,Chst1,19.74,0.2039990926142286,0.6095561055939925,,,0
68,ENSMUSG00000033763.15,Mtss2,19.65,0.12143042805333333,0.8709135978910648,,,0
69,ENSMUSG00000040037.14,Negr1,19.62,0.2970572355835594,0.9341298331099316,,,0
70,ENSMUSG00000032035.17,Ets1,19.04,0.17537820206390464,0.8848327767559492,,,0
71,ENSMUSG00000039533.9,Mmd2,18.57,0.5616283891611669,0.77288529136505,,,0
72,ENSMUSG00000031565.19,Fgfr1,18.4,0.2456239795776842,0.7415607087385211,,,0
73,ENSMUSG00000072663.13,Spef2,18.25,0.28464425285729905,0.6336090509107657,,,0
74,ENSMUSG00000032883.16,Acsl3,18.08,0.3999609509688751,0.8969865442341644,,,0
75,ENSMUSG00000032482.10,Cspg5,18.0,0.3310083921777177,0.5459213057848948,,,0
76,ENSMUSG00000000560.10,Gabra2,17.99,0.15093135056467535,0.7785836347230373,,,0
77,ENSMUSG00000032194.10,Kank2,17.1,0.23590228115845502,0.536649454764414,,,0
78,ENSMUSG00000024063.14,Lbh,16.77,0.1466331926683822,0.46821856794098393,,,0
79,ENSMUSG00000031274.17,Col4a5,16.46,0.18141961124545133,0.6169649362144342,,,0
