rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000028128.14,F3,80.64,0.35778498134522174,0.6154883645012973,,,0
2,ENSMUSG00000024978.12,Gpam,73.22,0.2925729341667717,0.41986574769664586,,,0
3,ENSMUSG00000029093.15,Sorcs2,66.15,0.25583114975708454,0.5911566147443353,,,0
4,ENSMUSG00000030307.9,Slc6a11,62.81,0.2911399956969275,0.5764357488433837,,,0
5,ENSMUSG00000059974.11,Ntm,55.18,0.27705710727225125,0.8001623566662373,,,0
6,ENSMUSG00000030088.16,Aldh1l1,53.43,0.33587639055026697,0.5633447722995286,,,1
7,ENSMUSG00000027737.11,Slc7a11,49.58,0.21671153699984594,0.5076666489320981,,,0
8,ENSMUSG00000026173.17,Plcd4,46.13,0.306595102814081,0.5198064387601519,,,0
9,ENSMUSG00000050953.11,Gja1,45.76,0.333791529222424,0.7267427605800303,,,1
10,ENSMUSG00000052560.16,Cpne8,45.29,0.2719576120394233,0.6158524100457212,,,0
11,ENSMUSG00000010064.16,Slc38a3,43.09,0.26478785894039664,0.700261195055965,,,0
12,ENSMUSG00000035126.20,Dnai4,39.65,0.2655247233357855,0.3912547146412005,,,0
13,ENSMUSG00000005360.15,Slc1a3,39.19,0.2796624226305997,0.8639759809327244,,,1
14,ENSMUSG00000029838.12,Ptn,39.15,0.2736095739051376,0.9004998127999458,32.0,0.008155483,0
15,ENSMUSG00000021613.10,Hapln1,39.03,0.28071143943300864,0.4194460236724351,,,0
16,ENSMUSG00000032482.10,Cspg5,38.09,0.3238948467103142,0.5603851887841105,,,0
17,ENSMUSG00000052914.5,Cyp2j6,37.62,0.2727196577823585,0.6687379288428124,,,0
18,ENSMUSG00000023913.18,Pla2g7,37.6,0.2412648653557339,0.5547680601458066,,,0
19,ENSMUSG00000020333.18,Acsl6,36.81,0.3313401632890576,0.7023297455023567,,,0
20,ENSMUSG00000026679.4,Enkur,36.64,0.4936566051348439,0.46006871795803933,,,1
21,ENSMUSG00000032231.15,Anxa2,36.49,0.17574183626257434,0.5322490768230227,,,0
22,ENSMUSG00000025757.14,Hspa4l,35.96,0.15698412402670386,0.6754390884923785,,,0
23,ENSMUSG00000031647.11,Mfap3l,35.35,0.26438282335754254,0.4268390550887479,,,0
24,ENSMUSG00000020014.19,Cfap54,34.78,0.3953728705918932,0.5176434059425019,,,0
25,ENSMUSG00000029167.14,Ppargc1a,34.09,0.2910972502526875,0.6499789755823141,,,0
26,ENSMUSG00000027676.12,Ccdc39,33.52,0.1864513972635296,0.4335941853168351,,,0
27,ENSMUSG00000030495.13,Slc7a10,33.45,0.2571291040238552,0.5354291306363772,,,0
28,ENSMUSG00000021823.11,Vcl,32.67,0.3006885957262813,0.5532939292016654,,,0
29,ENSMUSG00000055373.9,Fut9,32.48,0.25713959321504454,0.7391763728872687,,,0
30,ENSMUSG00000015224.11,Cyp2j9,31.77,0.32439156435480143,0.6825002001560379,,,0
31,ENSMUSG00000048332.14,Lhfp,31.74,0.3292811145265894,0.6812492151232681,,,0
32,ENSMUSG00000027574.16,Nkain4,31.46,0.26098803724969144,0.7297875858257609,,,0
33,ENSMUSG00000020734.14,Grin2c,31.27,0.13884300457960552,0.4033313770893958,,,0
34,ENSMUSG00000031565.19,Fgfr1,30.62,0.2541518272498711,0.7243068839635133,,,0
35,ENSMUSG00000022132.16,Cldn10,30.58,0.28146349424611705,0.5376789164262736,,,0
36,ENSMUSG00000026421.15,Csrp1,30.42,0.384707984561713,0.782937455290651,,,0
37,ENSMUSG00000054196.8,Cthrc1,29.98,0.16801279734706903,0.686551001163127,,,0
38,ENSMUSG00000031604.11,Msmo1,28.95,0.15102757038266795,0.5821264043517278,,,0
39,ENSMUSG00000027803.15,Wwtr1,28.58,0.29144109152814346,0.6816236537765287,,,0
40,ENSMUSG00000031596.16,Slc7a2,28.47,0.23372643875953625,0.7466656988756324,,,0
41,ENSMUSG00000026883.18,Dab2ip,28.42,0.16574466148052017,0.762943862587298,,,0
42,ENSMUSG00000063297.8,Luzp2,28.39,0.329391315833278,0.8544427396962516,,,0
43,ENSMUSG00000026424.9,Gpr37l1,28.24,0.17994512261269224,0.6300762045487791,,,0
44,ENSMUSG00000037747.10,Phyhipl,28.17,0.18159468198508236,0.8140092727824849,,,0
45,ENSMUSG00000030701.18,Plekhb1,27.57,0.35342030034978095,0.5602580145985558,,,0
46,ENSMUSG00000030235.18,Slco1c1,27.56,0.42356776638571986,0.6216114592711812,,,0
47,ENSMUSG00000037902.19,Sirpa,27.5,0.3965955766295413,0.869219957209463,,,0
