rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000030307.9,Slc6a11,87.43,0.262788964668897,0.5882201030544109,,,0
2,ENSMUSG00000021823.11,Vcl,65.26,0.23499084092870157,0.5356898290697671,,,0
3,ENSMUSG00000028128.14,F3,63.71,0.31593550772370166,0.6140127067225786,,,0
4,ENSMUSG00000050953.11,Gja1,62.27,0.2780987409055508,0.7335875572602822,,,1
5,ENSMUSG00000031647.11,Mfap3l,55.86,0.22551008661190633,0.432008359480253,,,0
6,ENSMUSG00000047361.17,Gm973,55.37,0.33402985898385956,0.6585458629629959,,,0
7,ENSMUSG00000048332.14,Lhfp,52.92,0.2931587428555122,0.6878924753380805,,,0
8,ENSMUSG00000027737.11,Slc7a11,52.36,0.21053395540771777,0.49082137977640194,,,0
9,ENSMUSG00000068748.8,Ptprz1,48.21,0.20727450056863048,0.8875624801257869,,,0
10,ENSMUSG00000055373.9,Fut9,46.92,0.24326078789632122,0.741025581606853,,,0
11,ENSMUSG00000021613.10,Hapln1,46.56,0.2843946658733025,0.3825225295500137,,,0
12,ENSMUSG00000037999.14,Arap2,44.97,0.1915855049814651,0.9073770460722805,,,0
13,ENSMUSG00000105352.5,C030018K13Rik,44.52,0.13379649258516677,0.7663822749092938,,,0
14,ENSMUSG00000035126.20,Dnai4,43.86,0.2571722301026037,0.42748194664584716,,,0
15,ENSMUSG00000036949.17,Slc39a12,43.63,0.3796164502500756,0.5357440075859703,,,0
16,ENSMUSG00000024227.15,Pdzph1,42.32,0.2059484997383876,0.6352310566685027,,,0
17,ENSMUSG00000073102.8,Drc1,42.29,0.3709531747626509,0.47550513577894016,,,0
18,ENSMUSG00000020734.14,Grin2c,41.88,0.1401483198288188,0.3822991622276412,,,0
19,ENSMUSG00000010064.16,Slc38a3,40.11,0.24821310655400333,0.689010689413281,,,0
20,ENSMUSG00000024978.12,Gpam,37.89,0.25917876948610874,0.4034622095624557,,,0
21,ENSMUSG00000029838.12,Ptn,36.31,0.2640339975166735,0.9030454746157166,27.0,0.009531856,0
22,ENSMUSG00000015224.11,Cyp2j9,35.68,0.27842136587902466,0.682621741055082,,,0
23,ENSMUSG00000026173.17,Plcd4,35.65,0.2917217402624662,0.5009014977685501,,,0
24,ENSMUSG00000022763.19,Aifm3,34.38,0.1842152175138576,0.5997368827399424,,,0
25,ENSMUSG00000039620.18,Trmt9b,32.5,0.21763904956396374,0.6600339424324212,,,0
26,ENSMUSG00000072663.13,Spef2,31.65,0.2460560117844447,0.5539394966890762,,,0
27,ENSMUSG00000033863.3,Klf9,31.5,0.20690834339073552,0.8126762942012784,,,0
28,ENSMUSG00000035104.15,Eva1a,31.37,0.190044271832906,0.7778070831284782,,,0
29,ENSMUSG00000020614.14,Fam20a,30.57,0.26918133065727,0.6207864169593541,,,0
30,ENSMUSG00000027676.12,Ccdc39,30.41,0.25100964267187237,0.4344265214873116,,,0
31,ENSMUSG00000040037.14,Negr1,30.39,0.23668722502008632,0.9226211227098459,,,0
32,ENSMUSG00000017144.9,Rnd3,30.32,0.3422475580202734,0.8686120696718748,,,0
33,ENSMUSG00000037747.10,Phyhipl,30.06,0.23767596673153435,0.8370789156410189,,,0
34,ENSMUSG00000004902.8,Slc25a18,29.58,0.2724183670041288,0.41586377719093004,,,0
35,ENSMUSG00000018849.7,Wwc1,28.47,0.23651478225860723,0.5591588173635963,,,0
36,ENSMUSG00000026421.15,Csrp1,28.29,0.385244976083754,0.8071051001031062,,,0
37,ENSMUSG00000020598.17,Nrcam,28.0,0.31230555377499464,0.8451167560944646,,,0
38,ENSMUSG00000028517.9,Plpp3,27.95,0.32151154868877785,0.8390514021516758,,,0
39,ENSMUSG00000020014.19,Cfap54,27.52,0.2453642594628036,0.5405693902543892,,,0
40,ENSMUSG00000032231.15,Anxa2,27.44,0.15381106605684033,0.4993613699212488,,,0
41,ENSMUSG00000034109.16,Golim4,27.41,0.13722033363232883,0.5491315377493781,,,0
42,ENSMUSG00000059974.11,Ntm,27.31,0.25037484104463814,0.8122321536650247,,,0
43,ENSMUSG00000026463.18,Atp2b4,27.06,0.16952768477603758,0.7028149622951101,,,0
44,ENSMUSG00000022296.11,Baalc,26.14,0.3128117596080049,0.5299178565867642,,,0
45,ENSMUSG00000020037.16,Rfx4,25.92,0.3861153659195025,0.6757643038450762,,,0
46,ENSMUSG00000029406.16,Pitpnm2,25.91,0.1725834837901084,0.7305612674144674,,,0
47,ENSMUSG00000036225.16,Kctd1,25.39,0.2411204216404235,0.6546997100971258,,,0
48,ENSMUSG00000027803.15,Wwtr1,25.34,0.2816328038054875,0.7016682611422788,,,0
49,ENSMUSG00000030310.12,Slc6a1,25.29,0.16606075479563004,0.8784547134850594,,,0
50,ENSMUSG00000030701.18,Plekhb1,25.21,0.31624673298474365,0.5415522773878327,,,0
51,ENSMUSG00000001288.16,Rarg,24.8,0.20488814629872257,0.4604422972768607,,,0
52,ENSMUSG00000026586.17,Prrx1,24.22,0.27577799238937334,0.7188024457262716,,,0
53,ENSMUSG00000019820.12,Utrn,23.84,0.2719266060329919,0.6986958835317851,,,0
54,ENSMUSG00000027805.17,Pfn2,23.35,0.3764077820104475,0.7538298160700333,,,1
55,ENSMUSG00000025964.16,Adam23,23.35,0.30065039894449025,0.7596533175226653,,,0
56,ENSMUSG00000032482.10,Cspg5,23.16,0.2754682248248994,0.5466070309882785,,,0
57,ENSMUSG00000052221.9,Ppp1r36,22.8,0.49521513202166756,0.4230494644471954,,,0
58,ENSMUSG00000008575.18,Nfib,22.24,0.7849716094553525,0.9460545523422452,19.0,0.02600444,0
59,ENSMUSG00000060487.8,Samd5,21.3,0.1425396566726096,0.6863282800330937,,,0
60,ENSMUSG00000052914.5,Cyp2j6,21.26,0.24109414180799535,0.6727237832612682,,,0
61,ENSMUSG00000041515.11,Irf8,20.96,0.3775495699589359,0.7862244453165975,,,0
62,ENSMUSG00000022262.9,Dnah5,20.59,0.32716578958315556,0.40215086638604997,,,0
63,ENSMUSG00000005360.15,Slc1a3,20.51,0.2326774404963115,0.8604660612639149,,,1
64,ENSMUSG00000003949.17,Hlf,20.27,0.2255498573246192,0.7347621650780913,,,0
65,ENSMUSG00000067242.12,Lgi1,20.26,0.11054432976277444,0.6789881594166551,,,0
66,ENSMUSG00000027210.21,Meis2,20.13,0.7932160422562011,0.9301999597273068,5.0,0.18962528,0
67,ENSMUSG00000030516.15,Tjp1,19.98,0.12428476106784514,0.7894329128012842,,,0
68,ENSMUSG00000040430.19,Pitpnc1,19.66,0.20637226689036858,0.7823619129634032,,,0
69,ENSMUSG00000033763.15,Mtss2,19.61,0.17121115714521098,0.8656845196150885,,,0
70,ENSMUSG00000024899.8,Papss2,19.57,0.24039273116130608,0.38722344631186223,,,0
71,ENSMUSG00000097156.9,Gm3764,19.26,0.1939032784863334,0.8539336199361284,,,0
72,ENSMUSG00000021071.18,Trim9,19.01,0.2202226633519688,0.7806299358840842,,,0
73,ENSMUSG00000004892.14,Bcan,19.0,0.26878467953826407,0.528484203303047,,,0
74,ENSMUSG00000029093.15,Sorcs2,18.93,0.25738425198786136,0.593879929592842,,,0
75,ENSMUSG00000033955.14,Tnks1bp1,18.87,0.11722059275319746,0.32762023558579795,,,0
76,ENSMUSG00000024140.11,Epas1,18.79,0.3572094680166063,0.7294218000823112,,,0
77,ENSMUSG00000030235.18,Slco1c1,18.78,0.27854869966993795,0.6160819204047904,,,0
78,ENSMUSG00000048960.14,Prex2,18.56,0.28486862086089454,0.5740130185311753,,,0
79,ENSMUSG00000045103.20,Dmd,18.51,0.1668304465413966,0.8311194935773201,,,0
80,ENSMUSG00000024998.18,Plce1,18.41,0.30285871429965616,0.6452148444686778,,,0
81,ENSMUSG00000031596.16,Slc7a2,18.13,0.21705393136720513,0.7329247156809149,,,0
82,ENSMUSG00000022899.11,Slc15a2,18.11,0.21451995933042434,0.4628636885331035,,,0
83,ENSMUSG00000098087.3,Gm17750,18.09,0.37704936438754916,0.8790853743265569,,,0
84,ENSMUSG00000026679.4,Enkur,17.82,0.4325997884953761,0.43719266979665444,,,1
85,ENSMUSG00000028370.8,Pappa,17.61,0.1661988420904426,0.6503614757435964,,,0
86,ENSMUSG00000026177.12,Slc11a1,17.58,0.22406395555145342,0.8241435156508654,,,0
87,ENSMUSG00000060961.17,Slc4a4,17.52,0.281409932680176,0.7715872442741991,,,0
88,ENSMUSG00000059857.16,Ntng1,17.52,0.21432997488530645,0.7161985802312806,,,0
89,ENSMUSG00000032875.9,Arhgef17,17.46,0.20390905613675708,0.7310476758632112,,,0
90,ENSMUSG00000038860.16,Garnl3,17.41,0.2550866606317893,0.597393869476482,,,0
91,ENSMUSG00000016128.15,Stard13,17.09,0.21934571892791904,0.8257178699125879,,,0
92,ENSMUSG00000024063.14,Lbh,17.06,0.15334129750119208,0.4239155128748123,,,0
93,ENSMUSG00000039552.15,Rsph4a,16.56,0.37683289012332205,0.30387615356493947,,,0
94,ENSMUSG00000054196.8,Cthrc1,16.3,0.1673434263783144,0.6587741849943651,,,0
95,ENSMUSG00000030125.12,Lrrc23,16.17,0.41155239933494975,0.4888233728829169,,,0
96,ENSMUSG00000032035.17,Ets1,16.06,0.17243877070934824,0.7938586840697367,,,0
97,ENSMUSG00000091542.2,Gm17167,15.78,0.14661156661487,0.8807705801769706,,,0
98,ENSMUSG00000071856.11,Mcc,15.71,0.15679681793723454,0.5507277707982409,,,0
99,ENSMUSG00000026840.15,Lamc3,15.28,0.4257612465343042,0.32540015187629134,,,0
100,ENSMUSG00000021340.14,Gpld1,15.26,0.2615508881080193,0.5049443665901727,,,0
