rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000021301.10,Hecw1,196.23,0.28523942947627057,0.7491432307533722,,,0
2,ENSMUSG00000041592.17,Sdk2,190.08,0.4391727195923066,0.8515794779448727,,,0
3,ENSMUSG00000030209.15,Grin2b,176.34,0.19360412341921474,0.8449592476665831,,,0
4,ENSMUSG00000025938.17,Slco5a1,176.34,0.2795607013136117,0.7250454549967946,,,0
5,ENSMUSG00000028358.16,Zfp618,166.64,0.24563571395346143,0.76856048433276,,,0
6,ENSMUSG00000056296.18,Synpr,163.27,0.2903605224208676,0.8186126230294285,,,0
7,ENSMUSG00000100826.7,Snhg14,159.74,0.24423912233145148,0.7243399209979476,,,0
8,ENSMUSG00000070880.11,Gad1,150.83,0.438831283305967,0.7893935854141632,,,1
9,ENSMUSG00000004113.20,Cacna1b,136.9,0.3488625131253499,0.8089849408461802,,,0
10,ENSMUSG00000040209.13,Zfp704,136.4,0.439344241132892,0.8607738601017744,,,0
11,ENSMUSG00000057182.17,Scn3a,131.57,0.3176844385023111,0.8131743413645961,,,0
12,ENSMUSG00000045215.18,Asxl3,126.18,0.3482123185158646,0.8915599652787475,,,0
13,ENSMUSG00000086496.3,Gm14204,118.23,0.3551603932423711,0.7721906534922732,,,0
14,ENSMUSG00000004151.18,Etv1,116.6,0.3604275496104258,0.6651694523016992,,,0
15,ENSMUSG00000019146.3,Cacng2,115.94,0.2367020190149234,0.7470259678340119,,,0
16,ENSMUSG00000008496.20,Pou2f2,107.64,0.33703961774133284,0.8986870639166742,,,0
17,ENSMUSG00000038718.16,Pbx3,107.49,0.45402447485444625,0.7588816427385245,33.0,0.0038937626,0
18,ENSMUSG00000010505.17,Myt1,106.02,0.33715557889446995,0.8437342358877761,,,0
19,ENSMUSG00000024044.20,Epb41l3,104.87,0.29571669596130934,0.8114538670603902,,,0
20,ENSMUSG00000033981.15,Gria2,101.55,0.2536175775029279,0.8832921444607442,,,0
21,ENSMUSG00000021614.17,Vcan,101.43,0.26328412349084274,0.8533809056409631,,,0
22,ENSMUSG00000022044.15,Stmn4,99.53,0.3562308871498889,0.8464001187879652,,,0
23,ENSMUSG00000026787.4,Gad2,96.39,0.5467594375264698,0.8073104890905368,,,1
24,ENSMUSG00000031517.9,Gpm6a,95.77,0.2676106239821033,0.8409062046969858,,,0
25,ENSMUSG00000047261.10,Gap43,92.79,0.1576774583664563,0.8040223493660534,,,0
26,ENSMUSG00000021268.19,Meg3,91.06,0.2775942156209066,0.7760043299607808,,,1
27,ENSMUSG00000024754.14,Cemip2,89.62,0.28791486042843945,0.8421053448022706,,,0
28,ENSMUSG00000031626.19,Sorbs2,89.46,0.21533972198320647,0.8511789186006966,,,0
29,ENSMUSG00000032181.8,Scg3,87.41,0.2671965789283629,0.8477155205427722,,,0
30,ENSMUSG00000018589.9,Glra2,85.14,0.213626855644062,0.5765076188889783,,,0
31,ENSMUSG00000044647.17,Csrnp3,82.24,0.2673588776422769,0.8247647353088301,,,0
32,ENSMUSG00000030310.12,Slc6a1,78.46,0.18059527338162834,0.8707544303698048,,,0
33,ENSMUSG00000021294.8,Kif26a,77.19,0.2434034051067966,0.7782517722184807,,,0
