rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000004113.20,Cacna1b,145.61,0.3571327049479942,0.8045360627084682,,,0
2,ENSMUSG00000025938.17,Slco5a1,145.42,0.28487160817638607,0.7329150672684225,,,0
3,ENSMUSG00000021301.10,Hecw1,138.39,0.300268153859307,0.7529533265227467,,,0
4,ENSMUSG00000030209.15,Grin2b,124.53,0.3049522279342554,0.8464413257480118,16.0,0.033464897,0
5,ENSMUSG00000100826.7,Snhg14,115.56,0.2444314707360951,0.7472299040293925,,,0
6,ENSMUSG00000041592.17,Sdk2,111.97,0.42352446235886426,0.8562021276376847,,,0
7,ENSMUSG00000070880.11,Gad1,108.22,0.43194245059319913,0.7887992996874227,,,0
8,ENSMUSG00000047261.10,Gap43,106.65,0.15795508199545855,0.8087715877293064,,,0
9,ENSMUSG00000030310.12,Slc6a1,102.01,0.16606075479563004,0.8784547134850594,,,0
10,ENSMUSG00000028358.16,Zfp618,93.22,0.2588621806798244,0.7710107922073306,,,0
11,ENSMUSG00000038718.16,Pbx3,88.41,0.4537542062623124,0.7626857848824405,,,0
12,ENSMUSG00000057182.17,Scn3a,81.54,0.3216879704185178,0.8103788508150648,,,0
13,ENSMUSG00000060568.15,Fam78b,78.78,0.3588488461984993,0.6721899503280888,,,0
14,ENSMUSG00000044647.17,Csrnp3,77.25,0.27065305561253283,0.8329347077914884,,,0
15,ENSMUSG00000004151.18,Etv1,74.65,0.34190161966670657,0.6976353336282994,,,0
16,ENSMUSG00000021614.17,Vcan,72.79,0.2763940613532357,0.8521815667264685,,,1
17,ENSMUSG00000063919.12,Srrm4,71.19,0.37853178827324446,0.8524905384050379,,,0
18,ENSMUSG00000033981.15,Gria2,70.82,0.28122894288577954,0.8837924714314146,,,0
19,ENSMUSG00000024044.20,Epb41l3,70.54,0.280841791519118,0.8005310005881391,,,0
20,ENSMUSG00000032181.8,Scg3,69.07,0.25998300895711823,0.8568005687100367,,,0
21,ENSMUSG00000038156.17,Spon1,68.08,0.40271555794424785,0.8116859671301746,,,0
22,ENSMUSG00000021268.19,Meg3,66.97,0.295646802819814,0.7901677835366684,11.0,0.07610484,0
23,ENSMUSG00000040037.14,Negr1,64.47,0.23668722502008632,0.9226211227098459,,,0
24,ENSMUSG00000045103.20,Dmd,63.23,0.1668304465413966,0.8311194935773201,,,0
25,ENSMUSG00000059857.16,Ntng1,62.01,0.21432997488530645,0.7161985802312806,,,0
26,ENSMUSG00000040209.13,Zfp704,59.31,0.47032317554398423,0.8662771681839387,,,0
27,ENSMUSG00000095105.3,Edaradd,58.65,0.13792350863031355,0.46578864554722943,,,0
28,ENSMUSG00000024754.14,Cemip2,58.48,0.2971869828934021,0.8416553783138826,,,0
29,ENSMUSG00000073411.13,H2-D1,56.79,0.21743873085963147,0.5511524922468187,,,0
