rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000056966.8,Gjc3,260.94,0.3094372218636568,0.5590944748975571,10.0,0.06977756,0
2,ENSMUSG00000036634.16,Mag,154.67,0.2099511106511829,0.600528102113516,,,1
3,ENSMUSG00000029838.12,Ptn,122.37,0.3139790168658589,0.8958608855974665,32.0,0.008155483,0
4,ENSMUSG00000027858.14,Tspan2,120.16,0.35994279408826,0.6464066957792175,19.0,0.021497007,0
5,ENSMUSG00000039542.17,Ncam1,114.94,0.5581459478000138,0.8743212044708261,,,0
6,ENSMUSG00000028399.19,Ptprd,100.01,0.4557321623332359,0.8141462890396833,,,0
7,ENSMUSG00000066129.18,Kndc1,98.94,0.2736759918947512,0.6268965805788852,,,0
8,ENSMUSG00000032854.13,Ugt8a,96.41,0.4656734829198323,0.42214849107075936,,,0
9,ENSMUSG00000049807.17,Arhgap23,81.05,0.33278122521660836,0.643027843144805,,,0
10,ENSMUSG00000019889.11,Ptprk,77.78,0.32054907164675517,0.7801218246117847,,,0
11,ENSMUSG00000026888.15,Grb14,70.04,0.3608061268286299,0.6264583347285323,,,0
12,ENSMUSG00000045215.18,Asxl3,69.77,0.37350648947674076,0.852933524461251,,,0
13,ENSMUSG00000060716.8,Plekhh1,68.5,0.5319397318645214,0.4800103706397775,,,0
14,ENSMUSG00000100147.4,1700047M11Rik,66.87,0.4047785496030133,0.5559094078878718,,,0
15,ENSMUSG00000039830.10,Olig2,65.85,0.10454588094056405,0.6277751854493794,,,1
16,ENSMUSG00000054162.16,Spock3,65.31,0.37596190632815757,0.4213157645399191,,,0
17,ENSMUSG00000041362.18,Shtn1,61.65,0.4903130068821043,0.8513385576762184,,,0
18,ENSMUSG00000034903.19,Cobll1,61.4,0.34662298125577473,0.7761586622803147,,,0
19,ENSMUSG00000033579.17,Fa2h,61.06,0.521832927075703,0.5065172685426241,16.0,0.027719172,0
20,ENSMUSG00000044647.17,Csrnp3,55.52,0.247853437022895,0.8361843342254855,,,0
21,ENSMUSG00000031748.17,Gnao1,54.94,0.30604837347828506,0.8662590032956421,,,0
22,ENSMUSG00000033863.3,Klf9,52.44,0.2267862671540037,0.7639064563971631,,,0
23,ENSMUSG00000049493.14,Pls1,51.64,0.5293163006100913,0.6796546551467867,,,0
24,ENSMUSG00000076439.13,Mog,49.18,0.5024079891570434,0.38916645578671866,,,1
25,ENSMUSG00000025375.16,Aatk,46.32,0.3073852837876738,0.477960478098011,,,0
26,ENSMUSG00000041828.16,Abca8a,42.29,0.27159226196562214,0.5885576890752399,,,0
27,ENSMUSG00000034488.15,Edil3,41.75,0.494610893469991,0.786546567917684,,,0
28,ENSMUSG00000027669.15,Gnb4,41.49,0.2354376556385405,0.7747890690687314,,,0
29,ENSMUSG00000033595.8,Lgi3,38.84,0.42715394187214056,0.5626351210130118,,,0
30,ENSMUSG00000025757.14,Hspa4l,38.16,0.19623803827550398,0.617547964550409,,,0
31,ENSMUSG00000069601.15,Ank3,38.06,0.2660436055943135,0.7818496812698504,,,0
32,ENSMUSG00000038608.16,Dock10,37.93,0.29846860223528143,0.9238778650549195,13.0,0.042112973,0
33,ENSMUSG00000046240.9,Hepacam,37.27,0.5023013993024178,0.7830994268063075,,,0
34,ENSMUSG00000037736.21,Limch1,34.49,0.46706481734525945,0.7639763070852152,,,0
35,ENSMUSG00000018427.9,Ypel2,34.41,0.3440565020772383,0.5687878620124747,,,0
36,ENSMUSG00000020315.19,Sptbn1,33.76,0.14854080743548617,0.8424612926708844,,,0
37,ENSMUSG00000062591.6,Tubb4a,32.4,0.4871085034099175,0.767460463505255,,,0
38,ENSMUSG00000020099.9,Unc5b,31.91,0.35515468630711094,0.625925402989081,,,0
39,ENSMUSG00000063297.8,Luzp2,29.24,0.2673469011070336,0.8383315846839012,,,0
40,ENSMUSG00000009418.18,Nav1,29.09,0.3008894752378273,0.7537798699309477,,,0
41,ENSMUSG00000074657.6,Kif5a,28.76,0.3346991937847327,0.8047425589971962,,,0
