rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000036634.16,Mag,280.62,0.20315072552760483,0.633978279440273,,,1
2,ENSMUSG00000100147.4,1700047M11Rik,163.04,0.3673635408953872,0.6340960659248978,,,0
3,ENSMUSG00000056966.8,Gjc3,161.7,0.28832397442265767,0.6352012279414077,8.0,0.06109,0
4,ENSMUSG00000032854.13,Ugt8a,146.94,0.47444773828390435,0.4912212662946109,26.0,0.0059814285,0
5,ENSMUSG00000049807.17,Arhgap23,109.56,0.3151491712188399,0.6406801438823517,,,0
6,ENSMUSG00000035093.17,Secisbp2l,99.23,0.18372896415129283,0.5608951824607787,45.0,0.00230661,0
7,ENSMUSG00000032517.17,Mobp,93.69,0.3527911057723639,0.487035453854117,,,0
8,ENSMUSG00000037754.14,Ppp1r16b,93.27,0.4088966060844671,0.6228259673522898,23.0,0.00884303,0
9,ENSMUSG00000028399.19,Ptprd,85.93,0.3629011337384336,0.8065951491550807,,,0
10,ENSMUSG00000034903.19,Cobll1,83.79,0.3236828793365603,0.7643272313500137,,,0
11,ENSMUSG00000029838.12,Ptn,82.87,0.25764029477402894,0.9047995078187425,25.0,0.0061769276,0
12,ENSMUSG00000032841.16,Prr5l,75.48,0.3992267383022279,0.8181157657208884,,,0
13,ENSMUSG00000066129.18,Kndc1,74.08,0.14889804959101824,0.673981108604828,,,0
14,ENSMUSG00000076439.13,Mog,73.56,0.5092671456116892,0.39180368809897737,,,1
15,ENSMUSG00000038608.16,Dock10,65.55,0.3015481325021286,0.9006776415459956,,,0
16,ENSMUSG00000060716.8,Plekhh1,63.35,0.4391429219463613,0.5031697860754467,,,0
17,ENSMUSG00000027858.14,Tspan2,61.27,0.4087290072779597,0.6554449392290392,,,0
18,ENSMUSG00000025375.16,Aatk,55.16,0.2583077844106301,0.5487759590455498,,,0
19,ENSMUSG00000037625.8,Cldn11,53.98,0.5493526556892679,0.5439402482129461,,,1
20,ENSMUSG00000069601.15,Ank3,52.83,0.2644871282878619,0.8233978099513518,,,0
21,ENSMUSG00000026888.15,Grb14,49.76,0.3532831706350013,0.6563423322066467,,,0
22,ENSMUSG00000033579.17,Fa2h,48.06,0.5402577819430898,0.568328786875682,9.0,0.04636422,0
23,ENSMUSG00000049721.15,Gal3st1,47.74,0.38367467755699963,0.611831584060587,,,0
24,ENSMUSG00000018427.9,Ypel2,47.47,0.33197891594907714,0.5873269517825714,,,0
25,ENSMUSG00000052914.5,Cyp2j6,46.15,0.24504522377829613,0.6875417867659018,,,0
26,ENSMUSG00000045215.18,Asxl3,44.31,0.3482123185158646,0.8915599652787475,,,0
27,ENSMUSG00000044647.17,Csrnp3,41.45,0.2673588776422769,0.8247647353088301,,,0
28,ENSMUSG00000041362.18,Shtn1,39.98,0.46047386963640285,0.8822433486428168,,,0
29,ENSMUSG00000033595.8,Lgi3,39.63,0.353756534656974,0.6178263197930607,,,0
30,ENSMUSG00000044340.8,Phlpp1,39.23,0.41130467971719414,0.752590022986222,,,0
