rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000056966.8,Gjc3,153.12,0.2906508296496222,0.6185907844141382,8.0,0.06109,0
2,ENSMUSG00000029838.12,Ptn,133.52,0.24808407853537628,0.8978874642481333,25.0,0.0061769276,0
3,ENSMUSG00000039542.17,Ncam1,122.53,0.5333240317525085,0.894208816362198,,,0
4,ENSMUSG00000036634.16,Mag,106.37,0.18453637178023452,0.6135566568984996,,,1
5,ENSMUSG00000032854.13,Ugt8a,97.38,0.46067588825146905,0.4699265483358583,26.0,0.0059814285,0
6,ENSMUSG00000049807.17,Arhgap23,95.89,0.3136296712952283,0.6186999064551335,,,0
7,ENSMUSG00000100147.4,1700047M11Rik,90.61,0.361468401055126,0.6157310471483938,,,0
8,ENSMUSG00000034488.15,Edil3,76.94,0.4312228959815734,0.8183626132648646,,,0
9,ENSMUSG00000034903.19,Cobll1,75.99,0.32828969099248245,0.7563197082958876,,,0
10,ENSMUSG00000028399.19,Ptprd,75.72,0.3448992299478909,0.8054992418299882,,,0
11,ENSMUSG00000066129.18,Kndc1,74.76,0.16749370612121325,0.66606293611266,,,0
12,ENSMUSG00000037754.14,Ppp1r16b,71.03,0.40059780472794526,0.6056991260974848,23.0,0.00884303,0
13,ENSMUSG00000031480.16,Thsd1,64.91,0.15095719998154003,0.3877990466677712,,,0
14,ENSMUSG00000038173.16,Enpp6,64.1,0.1275727090458576,0.5269854641176447,,,0
15,ENSMUSG00000032625.15,Thsd7a,63.01,0.21499060047341728,0.8315506646611367,,,0
16,ENSMUSG00000038608.16,Dock10,62.64,0.3282794023997522,0.9065285152611479,,,0
17,ENSMUSG00000049721.15,Gal3st1,62.44,0.3916201570006445,0.5965520917362966,,,0
18,ENSMUSG00000019889.11,Ptprk,61.78,0.28792541818145634,0.77085303241383,,,0
19,ENSMUSG00000076439.13,Mog,59.22,0.44729112765305307,0.3901416405720293,,,1
20,ENSMUSG00000037736.21,Limch1,58.2,0.4033001314810193,0.779167473948312,,,0
21,ENSMUSG00000021703.10,Serinc5,57.48,0.2547084006870845,0.6096783389918715,,,0
22,ENSMUSG00000033579.17,Fa2h,56.14,0.546761366065422,0.5589184308622099,9.0,0.04636422,0
23,ENSMUSG00000026109.15,Tmeff2,55.68,0.366796062092468,0.6670708687228413,,,0
24,ENSMUSG00000027805.17,Pfn2,55.39,0.3608591471058176,0.7325292341289047,,,0
25,ENSMUSG00000044647.17,Csrnp3,55.04,0.24725594482114716,0.8213396091291164,,,0
26,ENSMUSG00000024597.12,Slc12a2,55.01,0.2707248754801694,0.8351346834004665,,,0
27,ENSMUSG00000025375.16,Aatk,54.57,0.2457829522895662,0.5333906856224647,,,0
28,ENSMUSG00000041828.16,Abca8a,51.63,0.2272023871017862,0.5636184981460454,,,0
29,ENSMUSG00000026888.15,Grb14,51.59,0.345680181293046,0.6443109449357263,,,0
30,ENSMUSG00000052914.5,Cyp2j6,50.62,0.2422608442696381,0.6744419217022283,,,0
31,ENSMUSG00000033595.8,Lgi3,46.76,0.3723805038235146,0.6153912610513653,,,0
32,ENSMUSG00000040690.16,Col16a1,45.97,0.12725202015971507,0.6975134794315739,,,0
33,ENSMUSG00000037625.8,Cldn11,45.94,0.5357691110289843,0.5234657452327036,,,1
34,ENSMUSG00000027562.13,Car2,45.8,0.5454362482697975,0.6054003140353237,15.0,0.015810074,0
35,ENSMUSG00000046240.9,Hepacam,45.64,0.42502621667144813,0.8285171985553325,,,0
36,ENSMUSG00000046768.14,Rhoj,44.68,0.24835899436574002,0.6561737696760946,,,0
37,ENSMUSG00000028444.18,Cntfr,44.21,0.22574234093961237,0.8782773290719817,,,0
38,ENSMUSG00000069601.15,Ank3,44.12,0.2512713234081285,0.8095146836651885,,,0
39,ENSMUSG00000027858.14,Tspan2,43.5,0.39204286383237347,0.6414506570007968,,,0
40,ENSMUSG00000032517.17,Mobp,43.36,0.32585942092439296,0.47550706791534786,,,0
41,ENSMUSG00000004894.11,Hapln2,42.98,0.17091478405910154,0.5170650655261392,,,0
42,ENSMUSG00000074657.6,Kif5a,41.6,0.32491807740724277,0.8349110188521203,,,0
43,ENSMUSG00000020099.9,Unc5b,40.49,0.28885185728638013,0.5773192653874093,,,0
44,ENSMUSG00000049493.14,Pls1,39.54,0.4271195548493604,0.6948806973293639,,,0
45,ENSMUSG00000075415.14,Fnbp1,37.52,0.37139692499931903,0.8739395321710676,,,0
46,ENSMUSG00000040260.9,Daam2,35.44,0.37490998430805367,0.726962126892692,,,0
47,ENSMUSG00000060716.8,Plekhh1,34.62,0.4171079288242399,0.49278283272516177,,,0
48,ENSMUSG00000041362.18,Shtn1,33.21,0.45204363062297104,0.8708839120337327,,,0
49,ENSMUSG00000021097.16,Clmn,32.32,0.3396876574996295,0.6426293982640785,,,0
50,ENSMUSG00000026126.16,Ptpn18,32.16,0.1306312871031839,0.7642508735112127,,,0
51,ENSMUSG00000062591.6,Tubb4a,32.11,0.458676360618805,0.8039974167265298,,,0
52,ENSMUSG00000025283.16,Sat1,32.06,0.33350251125258223,0.8158723800642498,,,0
53,ENSMUSG00000038453.18,Srcin1,31.46,0.2887318512992563,0.7880621165794198,,,0
54,ENSMUSG00000031838.11,Ifi30,31.01,0.1632618628138078,0.5827993511242894,,,0
55,ENSMUSG00000097736.9,9530059O14Rik,30.43,0.1182360866535638,0.6138193591245098,,,0
56,ENSMUSG00000024063.14,Lbh,29.35,0.14556272050970145,0.3959226672034671,,,0
57,ENSMUSG00000031604.11,Msmo1,28.54,0.12748301321523411,0.5849352440084783,,,0
58,ENSMUSG00000061232.17,H2-K1,27.67,0.22844374883786048,0.7735327340278724,,,0
59,ENSMUSG00000027676.12,Ccdc39,27.59,0.20075033029728342,0.44559505894678925,,,0
60,ENSMUSG00000030798.16,Cd37,27.17,0.20405425499688853,0.6519608347493286,,,0
61,ENSMUSG00000034738.9,Nostrin,26.99,0.1846014298376196,0.4564381221629965,,,0
62,ENSMUSG00000025232.9,Hexa,26.9,0.346967748356185,0.6529897476967969,,,0
63,ENSMUSG00000022425.17,Enpp2,26.9,0.5389267672087553,0.7665217091284655,42.0,0.0024488722,0
64,ENSMUSG00000018008.9,Cyth4,25.42,0.31478287728805476,0.8068770498125964,,,0
65,ENSMUSG00000053702.17,Nebl,25.3,0.12428823035654492,0.6205787118558027,,,0
66,ENSMUSG00000033863.3,Klf9,25.2,0.20994212576721588,0.7955958511629305,,,0
67,ENSMUSG00000013707.4,Tnfaip8l2,24.28,0.1858991567463087,0.6351145630321119,,,0
68,ENSMUSG00000028005.14,Gucy1b1,23.87,0.33156543260727306,0.6939804357256293,,,0
69,ENSMUSG00000018920.12,Cxcl16,23.78,0.29575406765745116,0.703499133931409,,,0
70,ENSMUSG00000025558.20,Dock9,23.32,0.21268274498588732,0.7279793198849187,,,0
71,ENSMUSG00000018427.9,Ypel2,23.25,0.3245907074338108,0.5779136228992539,,,0
72,ENSMUSG00000028517.9,Plpp3,22.72,0.31826601906695173,0.8162858640100791,,,0
73,ENSMUSG00000027674.17,Pex5l,22.66,0.32056479489566686,0.5969887579369155,,,0
74,ENSMUSG00000034911.9,Ushbp1,22.04,0.18949331063857733,0.38466207663371327,,,0
75,ENSMUSG00000016382.16,Pls3,21.98,0.16669293214262204,0.7278864965556595,,,0
76,ENSMUSG00000030683.12,Sez6l2,21.91,0.3325659253322513,0.6381328885764936,,,0
77,ENSMUSG00000027669.15,Gnb4,21.63,0.19609739152046782,0.7501977477549702,,,0
78,ENSMUSG00000015852.14,Fcrls,20.81,0.40492692268216735,0.8165814324526908,,,0
79,ENSMUSG00000000359.4,Rem1,20.69,0.2617247198197036,0.5870389898257669,,,0
