rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000020902.13,Ntn1,93.85,0.20919363239160585,0.5860410822783481,,,0
2,ENSMUSG00000022197.17,Pdzd2,52.26,0.22006986443034607,0.48565242802627007,,,0
3,ENSMUSG00000055373.9,Fut9,48.89,0.22292294151944955,0.7346576659783978,,,0
4,ENSMUSG00000028128.14,F3,43.7,0.3221226574302902,0.6253347261799853,,,0
5,ENSMUSG00000001260.11,Gabrg1,38.19,0.2989603994650161,0.3241522902314305,,,0
6,ENSMUSG00000044647.17,Csrnp3,37.49,0.2673588776422769,0.8247647353088301,,,0
7,ENSMUSG00000021340.14,Gpld1,37.39,0.2511540519240237,0.5063610866828074,,,0
8,ENSMUSG00000019846.12,Lama4,36.55,0.29203644896046166,0.5725600565992016,,,0
9,ENSMUSG00000062151.14,Unc13c,35.59,0.303102517573894,0.5907345156459402,,,0
10,ENSMUSG00000022262.9,Dnah5,34.86,0.33668875246193863,0.4085216856497821,,,0
11,ENSMUSG00000028517.9,Plpp3,34.32,0.33806276734751983,0.8264281764612831,,,0
12,ENSMUSG00000097156.9,Gm3764,33.94,0.2588032510475206,0.8592656411026571,,,0
13,ENSMUSG00000019970.16,Sgk1,33.84,0.22605363231588982,0.7895522631485447,,,0
14,ENSMUSG00000055254.16,Ntrk2,33.46,0.25658809532243027,0.8337242688645654,,,0
15,ENSMUSG00000040690.16,Col16a1,31.78,0.13816053838039397,0.6867069246622858,,,0
16,ENSMUSG00000029108.15,Pcdh7,31.34,0.19790231939483602,0.7245203545411188,,,0
17,ENSMUSG00000062760.12,Shisal1,31.22,0.1826465871361678,0.5232431854668089,,,0
18,ENSMUSG00000024501.21,Dpysl3,31.15,0.5157907564574671,0.8360016927638221,,,0
19,ENSMUSG00000058297.17,Spock2,30.92,0.12464828313166458,0.5755939142851145,,,0
20,ENSMUSG00000059974.11,Ntm,30.32,0.2977893527230525,0.808961948571262,,,0
21,ENSMUSG00000030701.18,Plekhb1,30.1,0.326069896662005,0.5686024326596146,41.0,0.0024578343,0
22,ENSMUSG00000038738.16,Shank1,30.0,0.2590152679631377,0.7094282866533225,,,0
23,ENSMUSG00000056966.8,Gjc3,29.06,0.28832397442265767,0.6352012279414077,8.0,0.06109,0
24,ENSMUSG00000107815.2,Gm44257,28.27,0.13807667872671076,0.7016600242184245,,,0
25,ENSMUSG00000031284.17,Pak3,27.93,0.23068962538581708,0.906275327366735,,,0
26,ENSMUSG00000034903.19,Cobll1,27.66,0.3236828793365603,0.7643272313500137,,,0
27,ENSMUSG00000029093.15,Sorcs2,27.44,0.2664833921093877,0.5966887824334054,,,0
28,ENSMUSG00000020037.16,Rfx4,26.71,0.39030643308612195,0.6872381331817665,,,0
29,ENSMUSG00000020142.13,Slc1a4,26.6,0.1877235450643486,0.6983411661137876,,,0
