rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000020902.13,Ntn1,43.06,0.25396745121156433,0.5910689615755162,,,0
2,ENSMUSG00000026424.9,Gpr37l1,29.98,0.17994512261269224,0.6300762045487791,,,0
3,ENSMUSG00000059974.11,Ntm,29.72,0.27705710727225125,0.8001623566662373,,,0
4,ENSMUSG00000024501.21,Dpysl3,27.78,0.489223382886007,0.8128313528940317,,,0
5,ENSMUSG00000054196.8,Cthrc1,27.58,0.16801279734706903,0.686551001163127,,,0
6,ENSMUSG00000019970.16,Sgk1,26.55,0.22826583379310084,0.7863378398859243,,,0
7,ENSMUSG00000024935.12,Slc1a1,26.03,0.10476367512119349,0.3583527057843104,,,0
8,ENSMUSG00000022197.17,Pdzd2,23.96,0.2688803207530956,0.5075027108877164,,,0
9,ENSMUSG00000055373.9,Fut9,23.11,0.25713959321504454,0.7391763728872687,,,0
10,ENSMUSG00000022262.9,Dnah5,22.48,0.4827082240349471,0.3871806101134985,,,0
11,ENSMUSG00000052560.16,Cpne8,21.62,0.2719576120394233,0.6158524100457212,,,0
12,ENSMUSG00000028128.14,F3,21.58,0.35778498134522174,0.6154883645012973,,,0
13,ENSMUSG00000056966.8,Gjc3,21.12,0.2632134724573751,0.5415099738703838,10.0,0.06977756,0
14,ENSMUSG00000002325.16,Irf9,20.18,0.10189138352159274,0.3916791477337974,,,0
15,ENSMUSG00000030701.18,Plekhb1,19.59,0.35342030034978095,0.5602580145985558,,,0
16,ENSMUSG00000055254.16,Ntrk2,19.57,0.2708428413738351,0.8395036024562236,,,0
17,ENSMUSG00000039542.17,Ncam1,19.33,0.5873724674693765,0.8900551686103977,,,0
18,ENSMUSG00000056602.14,Fry,19.14,0.22528218692829347,0.6517810901743518,,,0
19,ENSMUSG00000044647.17,Csrnp3,18.73,0.2661470483750868,0.8368041990751693,,,0
20,ENSMUSG00000045103.20,Dmd,18.69,0.19032991499959617,0.8565327485973163,,,0
21,ENSMUSG00000046240.9,Hepacam,18.48,0.46685315730031846,0.792502913209124,,,0
22,ENSMUSG00000059173.21,Pde1a,18.41,0.13606702887942237,0.5598247229849204,,,0
23,ENSMUSG00000031647.11,Mfap3l,18.19,0.26438282335754254,0.4268390550887479,,,0
24,ENSMUSG00000038738.16,Shank1,18.02,0.33200936669702624,0.7438707108623757,,,0
25,ENSMUSG00000001768.17,Rin2,17.89,0.33950712389962845,0.8000690019327821,,,0
26,ENSMUSG00000005045.17,Chd5,16.98,0.1508282457938272,0.5519839623892883,,,0
27,ENSMUSG00000039809.11,Gabbr2,16.02,0.21306695980646886,0.6102806648082361,,,0
28,ENSMUSG00000028517.9,Plpp3,15.83,0.34524630110910154,0.8188694945540508,,,0
29,ENSMUSG00000029108.15,Pcdh7,15.78,0.1420546614774855,0.6942459369650971,,,0
30,ENSMUSG00000028412.18,Slc44a1,15.47,0.3858040557411708,0.5461570377283407,,,0
