rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000020902.13,Ntn1,45.19,0.25396745121156433,0.5910689615755162,,,0
2,ENSMUSG00000026424.9,Gpr37l1,41.89,0.17994512261269224,0.6300762045487791,,,0
3,ENSMUSG00000055373.9,Fut9,36.64,0.25713959321504454,0.7391763728872687,,,0
4,ENSMUSG00000024501.21,Dpysl3,35.38,0.489223382886007,0.8128313528940317,,,0
5,ENSMUSG00000054196.8,Cthrc1,30.8,0.16801279734706903,0.686551001163127,,,0
6,ENSMUSG00000055254.16,Ntrk2,29.66,0.2708428413738351,0.8395036024562236,,,0
7,ENSMUSG00000028128.14,F3,25.66,0.35778498134522174,0.6154883645012973,,,0
8,ENSMUSG00000022197.17,Pdzd2,25.53,0.2688803207530956,0.5075027108877164,,,0
9,ENSMUSG00000044647.17,Csrnp3,25.13,0.2661470483750868,0.8368041990751693,,,0
10,ENSMUSG00000039542.17,Ncam1,22.16,0.5873724674693765,0.8900551686103977,,,0
11,ENSMUSG00000002325.16,Irf9,21.42,0.10189138352159274,0.3916791477337974,,,0
12,ENSMUSG00000052560.16,Cpne8,20.99,0.2719576120394233,0.6158524100457212,,,0
13,ENSMUSG00000031647.11,Mfap3l,20.88,0.26438282335754254,0.4268390550887479,,,0
14,ENSMUSG00000030310.12,Slc6a1,20.72,0.18462147880699634,0.8868755662472979,,,0
15,ENSMUSG00000059974.11,Ntm,20.71,0.27705710727225125,0.8001623566662373,,,0
16,ENSMUSG00000091542.2,Gm17167,20.49,0.12189630359988544,0.87023227868115,,,0
17,ENSMUSG00000028517.9,Plpp3,20.47,0.34524630110910154,0.8188694945540508,,,0
18,ENSMUSG00000056602.14,Fry,20.32,0.22528218692829347,0.6517810901743518,,,0
19,ENSMUSG00000025427.16,Rnf165,20.01,0.33215041628614733,0.8188068814669751,,,0
20,ENSMUSG00000069601.15,Ank3,19.56,0.29562269327225166,0.7895378273421255,,,0
21,ENSMUSG00000038738.16,Shank1,19.04,0.33200936669702624,0.7438707108623757,,,0
22,ENSMUSG00000004031.14,Brinp2,18.92,0.32256615027398255,0.8541379982245065,,,0
23,ENSMUSG00000040037.14,Negr1,18.89,0.2420206931964763,0.9108109356963104,,,0
24,ENSMUSG00000024935.12,Slc1a1,18.69,0.10476367512119349,0.3583527057843104,,,0
25,ENSMUSG00000061911.16,Myt1l,18.41,0.5202179670993174,0.7355744265622551,,,0
26,ENSMUSG00000056966.8,Gjc3,18.13,0.2632134724573751,0.5415099738703838,10.0,0.06977756,0
27,ENSMUSG00000045103.20,Dmd,17.94,0.19032991499959617,0.8565327485973163,,,0
28,ENSMUSG00000029093.15,Sorcs2,17.82,0.25583114975708454,0.5911566147443353,,,0
29,ENSMUSG00000020312.13,Shc2,17.38,0.1681834179247119,0.6079393508809361,,,0
30,ENSMUSG00000031284.17,Pak3,17.33,0.2186687035972696,0.88494383338472,,,0
31,ENSMUSG00000022262.9,Dnah5,16.98,0.4827082240349471,0.3871806101134985,,,0
32,ENSMUSG00000029108.15,Pcdh7,15.63,0.1420546614774855,0.6942459369650971,,,0
33,ENSMUSG00000062151.14,Unc13c,15.49,0.3614671745127023,0.5722185580038271,,,0
34,ENSMUSG00000030701.18,Plekhb1,15.29,0.35342030034978095,0.5602580145985558,,,0
35,ENSMUSG00000019846.12,Lama4,14.89,0.33409381266632265,0.5724876570978438,,,0
