rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000000861.16,Bcl11a,101.84,0.36647952356768276,0.8038816956197259,6.0,0.13885814,0
2,ENSMUSG00000025427.16,Rnf165,91.71,0.33215041628614733,0.8188068814669751,,,0
3,ENSMUSG00000063919.12,Srrm4,87.86,0.39683478670747147,0.8299866026497971,,,0
4,ENSMUSG00000024501.21,Dpysl3,86.55,0.489223382886007,0.8128313528940317,,,0
5,ENSMUSG00000008575.18,Nfib,82.32,0.7788217070226996,0.9303661708606844,17.0,0.023516482,0
6,ENSMUSG00000055373.9,Fut9,79.67,0.25713959321504454,0.7391763728872687,,,0
7,ENSMUSG00000026640.13,Plxna2,78.97,0.34109582584410414,0.844787514823182,,,0
8,ENSMUSG00000027210.21,Meis2,78.72,0.8209155564347747,0.9114909726664481,5.0,0.18674304,0
9,ENSMUSG00000008489.19,Elavl2,76.19,0.45837160890788275,0.8134220561371329,,,0
10,ENSMUSG00000029245.17,Epha5,73.47,0.25953662192854954,0.8415644903127918,,,0
11,ENSMUSG00000070576.5,Mn1,71.56,0.3232423401444832,0.8340514845385558,,,0
12,ENSMUSG00000066705.8,Fxyd6,68.18,0.3378155999691496,0.8040825757363153,,,1
13,ENSMUSG00000040037.14,Negr1,66.92,0.2420206931964763,0.9108109356963104,,,0
14,ENSMUSG00000028444.18,Cntfr,65.59,0.254153037835384,0.8768508507969639,,,0
15,ENSMUSG00000034109.16,Golim4,64.76,0.1690012297399237,0.5336453125117563,,,0
16,ENSMUSG00000027326.14,Knl1,64.58,0.38271508335472554,0.5296549206425153,,,0
17,ENSMUSG00000047534.18,Mis18bp1,62.64,0.3126946764969703,0.41660911538666645,,,0
18,ENSMUSG00000017144.9,Rnd3,62.0,0.3803161854746075,0.8730249676834033,,,0
19,ENSMUSG00000039735.17,Fnbp1l,61.1,0.42337905592456304,0.7769627164226821,,,0
20,ENSMUSG00000032181.8,Scg3,59.7,0.291900578387127,0.8539576796587298,,,0
21,ENSMUSG00000004902.8,Slc25a18,59.57,0.2925240362524638,0.4443644659844511,,,0
22,ENSMUSG00000097156.9,Gm3764,59.43,0.2513470216507138,0.8301570672060989,,,0
23,ENSMUSG00000020601.9,Trib2,59.33,0.16116819365816465,0.8010921468134925,,,0
24,ENSMUSG00000043668.14,Tox3,58.9,0.4705909751114142,0.8869346368420424,,,0
25,ENSMUSG00000020297.11,Nsg2,58.24,0.5019996364332688,0.8080469721992877,31.0,0.008521009,0
26,ENSMUSG00000028613.16,Lrp8,54.91,0.32015589602940603,0.8811624190577628,,,0
27,ENSMUSG00000024754.14,Cemip2,54.43,0.3485426006346176,0.8362746464441051,,,0
28,ENSMUSG00000005233.17,Spc25,54.35,0.4144747260253495,0.40767242321584096,,,0
29,ENSMUSG00000024665.9,Fads2,52.42,0.29829970346500834,0.8591790602446961,,,0
30,ENSMUSG00000029005.5,Draxin,50.98,0.25334379369110394,0.8305933152749528,,,0
31,ENSMUSG00000091542.2,Gm17167,50.51,0.12189630359988544,0.87023227868115,,,0
32,ENSMUSG00000001300.17,Efnb2,50.31,0.312740346839955,0.8195262986096221,,,0
33,ENSMUSG00000024558.13,Mapk4,50.08,0.2826143837393193,0.7809613737467038,,,0
34,ENSMUSG00000035277.16,Arx,49.75,0.38853608008736845,0.8535403177494982,12.0,0.060147204,0
35,ENSMUSG00000026576.13,Atp1b1,49.29,0.23159416148452086,0.8564209175577973,,,0
36,ENSMUSG00000031548.8,Sfrp1,48.44,0.17698893937472604,0.7160332020456242,,,0
37,ENSMUSG00000068748.8,Ptprz1,47.67,0.21352664644381994,0.8658957581809645,,,0
38,ENSMUSG00000035551.7,Igfbpl1,47.21,0.4230190674646974,0.7848239289629878,2.0,0.44000503,0
39,ENSMUSG00000031285.15,Dcx,45.51,0.6445232121617325,0.7817710214097329,,,1
40,ENSMUSG00000038400.16,Pmepa1,44.44,0.28482593406559853,0.804555270525435,,,0
41,ENSMUSG00000027306.16,Nusap1,44.1,0.3649860098394554,0.4751179780824086,,,0
42,ENSMUSG00000073411.13,H2-D1,43.91,0.23600242215024106,0.6023540256775809,,,0
43,ENSMUSG00000030209.15,Grin2b,43.87,0.2990428412300695,0.8315660161593305,15.0,0.028811943,0
44,ENSMUSG00000028517.9,Plpp3,43.57,0.34524630110910154,0.8188694945540508,,,0
45,ENSMUSG00000037852.9,Cpe,43.06,0.2945472813372217,0.8634573165692456,,,0
46,ENSMUSG00000025757.14,Hspa4l,43.05,0.15698412402670386,0.6754390884923785,,,0
47,ENSMUSG00000030310.12,Slc6a1,42.92,0.18462147880699634,0.8868755662472979,,,0
48,ENSMUSG00000000632.14,Sez6,42.08,0.3509252123078963,0.7848155147078868,38.0,0.00523076,0
49,ENSMUSG00000020142.13,Slc1a4,41.62,0.20699697068084594,0.7040080608469613,,,0
50,ENSMUSG00000055254.16,Ntrk2,41.6,0.2708428413738351,0.8395036024562236,,,0
51,ENSMUSG00000037712.18,Fermt2,41.09,0.3199156692411641,0.9018647601041113,,,0
52,ENSMUSG00000110631.2,Gm42047,39.66,0.14012374584405346,0.6447001847247805,,,0
53,ENSMUSG00000044365.16,Cxxc4,39.45,0.18622291141936198,0.7436765401286083,,,0
54,ENSMUSG00000033981.15,Gria2,39.32,0.2632663862768066,0.8678171316933972,,,0
55,ENSMUSG00000035805.14,Mlc1,38.95,0.34835398108479665,0.627912338992652,,,0
56,ENSMUSG00000036192.16,Rorb,38.82,0.4554663362868217,0.8849527762375355,,,0
57,ENSMUSG00000070509.16,Rgma,38.2,0.3001529314782149,0.8272802146126448,,,0
58,ENSMUSG00000013150.16,Gfod2,37.5,0.11563034804604068,0.6156991907441778,,,0
59,ENSMUSG00000039202.13,Abhd2,36.78,0.17226784674983295,0.5060257877882219,,,0
60,ENSMUSG00000039830.10,Olig2,36.49,0.1220810407947557,0.6275108408712783,,,1
61,ENSMUSG00000062380.5,Tubb3,35.99,0.4734381084785356,0.8251081838893515,,,1
62,ENSMUSG00000025789.10,St8sia2,35.72,0.3650830440945007,0.854201939198975,,,0
63,ENSMUSG00000058254.13,Tspan7,34.75,0.23128919672374312,0.8013841007378929,,,0
64,ENSMUSG00000022122.16,Ednrb,34.41,0.3116520839923057,0.687343768003603,,,0
65,ENSMUSG00000013236.18,Ptprs,33.76,0.47941233408574524,0.8415238439602213,,,0
66,ENSMUSG00000048388.4,Fam171b,33.65,0.3813443928356753,0.9026836626354433,,,0
67,ENSMUSG00000052727.7,Map1b,33.35,0.525266487487868,0.8853843119780589,,,0
68,ENSMUSG00000026950.19,Neb,32.82,0.22483888980304018,0.5989912120040789,,,0
69,ENSMUSG00000039542.17,Ncam1,32.4,0.5873724674693765,0.8900551686103977,,,0
70,ENSMUSG00000024827.11,Gldc,32.14,0.32665290880160985,0.7246279152395297,,,0
71,ENSMUSG00000019872.14,Smpdl3a,32.07,0.22721509117723152,0.4429298067688685,,,0
72,ENSMUSG00000031517.9,Gpm6a,31.62,0.3036410596826152,0.8252628147308034,,,0
73,ENSMUSG00000020914.18,Top2a,31.36,0.4534253520466764,0.47985231663900635,,,1
74,ENSMUSG00000030798.16,Cd37,31.31,0.24903640716487793,0.65544017256316,,,0
75,ENSMUSG00000020122.17,Egfr,31.13,0.18996004020902899,0.8053587044297859,,,1
76,ENSMUSG00000021994.16,Wnt5a,30.91,0.2462683367162715,0.7630635352382622,,,0
77,ENSMUSG00000039533.9,Mmd2,30.49,0.46232197289403126,0.7846919451619939,,,0
78,ENSMUSG00000062248.6,Cks2,30.46,0.22862033315067457,0.42697947807620784,,,0
79,ENSMUSG00000036777.9,Anln,30.45,0.21647687148504863,0.5507075889936554,,,0
80,ENSMUSG00000059498.14,Fcgr3,30.14,0.35299603947907726,0.6224850881125515,,,0
81,ENSMUSG00000041936.19,Agrn,30.0,0.15828754387697166,0.5968153323546205,,,0
82,ENSMUSG00000042109.9,Csdc2,29.95,0.21395654258932678,0.7729622382110243,,,0
83,ENSMUSG00000060548.14,Tnfrsf19,29.8,0.17391861699328673,0.7851400105913001,,,0
84,ENSMUSG00000027581.13,Stmn3,29.03,0.45267234386757993,0.8146601397127566,,,0
85,ENSMUSG00000025964.16,Adam23,28.98,0.32409684854481036,0.7273324727154349,,,0
86,ENSMUSG00000031971.16,Ccsap,28.95,0.17081760575990668,0.6711724204189943,,,0
87,ENSMUSG00000046982.12,Tshz1,28.51,0.2695528781568877,0.7283600338700814,,,0
88,ENSMUSG00000029712.15,Actl6b,28.24,0.26374825789,0.7779244900679364,,,0
89,ENSMUSG00000032290.8,Ptpn9,27.81,0.14410389341685131,0.5505070387954563,,,0
90,ENSMUSG00000031604.11,Msmo1,27.59,0.15102757038266795,0.5821264043517278,,,0
91,ENSMUSG00000031004.9,Mki67,27.43,0.4354305315456497,0.5220121065284358,,,1
92,ENSMUSG00000027966.21,Col11a1,27.16,0.19550966129191846,0.8366440221064602,,,0
93,ENSMUSG00000035126.20,Dnai4,26.99,0.2655247233357855,0.3912547146412005,,,0
94,ENSMUSG00000019966.19,Kitl,26.78,0.11027841577541903,0.7552516921127066,,,0
95,ENSMUSG00000000247.12,Lhx2,26.43,0.3396339741296086,0.7522373649927176,,,0
96,ENSMUSG00000029168.15,Dpysl5,26.2,0.5542934897803264,0.8242891009248563,,,0
97,ENSMUSG00000012443.5,Kif11,26.0,0.4707475866182056,0.5231585280806694,,,0
98,ENSMUSG00000000359.4,Rem1,25.59,0.31687913200420514,0.6079930095473071,,,0
99,ENSMUSG00000030307.9,Slc6a11,25.22,0.2911399956969275,0.5764357488433837,,,0
100,ENSMUSG00000005089.16,Slc1a2,25.2,0.3203875658587061,0.8330976779655764,,,1
