rank,ensembl_id,gene_name,corr,likelihood,spearmans,shap_rank,shap_value,canonical
1,ENSMUSG00000027210.21,Meis2,79.77,0.7932160422562011,0.9301999597273068,5.0,0.18674304,0
2,ENSMUSG00000063919.12,Srrm4,78.99,0.37853178827324446,0.8524905384050379,,,0
3,ENSMUSG00000026640.13,Plxna2,76.36,0.3374516304687775,0.8573201513824746,,,0
4,ENSMUSG00000024501.21,Dpysl3,67.45,0.46140046655340766,0.8373474257588391,,,0
5,ENSMUSG00000008575.18,Nfib,67.11,0.7849716094553525,0.9460545523422452,17.0,0.023516482,0
6,ENSMUSG00000055373.9,Fut9,65.71,0.24326078789632122,0.741025581606853,,,0
7,ENSMUSG00000040037.14,Negr1,59.93,0.23668722502008632,0.9226211227098459,,,0
8,ENSMUSG00000008489.19,Elavl2,59.17,0.4335634868617684,0.8368566362553479,,,0
9,ENSMUSG00000029245.17,Epha5,57.07,0.20764930587893815,0.8019913032907356,,,0
10,ENSMUSG00000068748.8,Ptprz1,54.52,0.20727450056863048,0.8875624801257869,,,0
11,ENSMUSG00000034109.16,Golim4,52.5,0.13722033363232883,0.5491315377493781,,,0
12,ENSMUSG00000030209.15,Grin2b,51.75,0.3049522279342554,0.8464413257480118,15.0,0.028811943,0
13,ENSMUSG00000070576.5,Mn1,51.31,0.31649411282490797,0.8188474980157749,,,0
14,ENSMUSG00000024754.14,Cemip2,49.14,0.2971869828934021,0.8416553783138826,,,0
15,ENSMUSG00000000632.14,Sez6,49.12,0.2979731888362784,0.8138890917068614,38.0,0.00523076,0
16,ENSMUSG00000020601.9,Trib2,49.04,0.11316707376704263,0.7833525167949565,,,0
17,ENSMUSG00000020297.11,Nsg2,48.95,0.49507508335147415,0.8391400334581901,31.0,0.008521009,0
18,ENSMUSG00000004902.8,Slc25a18,48.13,0.2724183670041288,0.41586377719093004,,,0
19,ENSMUSG00000017144.9,Rnd3,46.39,0.3422475580202734,0.8686120696718748,,,0
20,ENSMUSG00000043668.14,Tox3,45.88,0.4368165598769501,0.9070316006102959,,,0
21,ENSMUSG00000039735.17,Fnbp1l,43.7,0.43274090327974285,0.8019199546331134,,,0
22,ENSMUSG00000024558.13,Mapk4,42.87,0.2554351796595273,0.7670634910141652,,,0
23,ENSMUSG00000066705.8,Fxyd6,42.8,0.30457801365850357,0.8149307992954472,,,1
24,ENSMUSG00000024665.9,Fads2,41.71,0.284624724015648,0.8570466786345906,,,0
25,ENSMUSG00000000861.16,Bcl11a,41.02,0.40338990745131986,0.8267891706613338,6.0,0.13885814,0
26,ENSMUSG00000022114.6,Spry2,39.43,0.2193631750683718,0.746135248955469,,,0
27,ENSMUSG00000097156.9,Gm3764,39.38,0.1939032784863334,0.8539336199361284,,,0
28,ENSMUSG00000030310.12,Slc6a1,38.63,0.16606075479563004,0.8784547134850594,,,0
29,ENSMUSG00000073411.13,H2-D1,38.24,0.21743873085963147,0.5511524922468187,,,0
30,ENSMUSG00000001300.17,Efnb2,37.88,0.29303535396445035,0.8047262901761182,,,0
31,ENSMUSG00000055254.16,Ntrk2,37.58,0.25110676560425765,0.8420843182103229,,,0
32,ENSMUSG00000000567.6,Sox9,36.26,0.1988989844791056,0.8024210317587577,,,1
33,ENSMUSG00000035277.16,Arx,36.18,0.37335357332946056,0.8610295036196716,12.0,0.060147204,0
34,ENSMUSG00000029005.5,Draxin,34.95,0.26529675693070204,0.8385412370360147,,,0
35,ENSMUSG00000031548.8,Sfrp1,34.8,0.2008145802466138,0.6969524938118938,,,0
36,ENSMUSG00000059498.14,Fcgr3,34.68,0.2916883897691656,0.5321167215462759,,,0
37,ENSMUSG00000048251.16,Bcl11b,34.46,0.14952199366144012,0.8345173285211418,,,0
38,ENSMUSG00000005338.15,Cadm3,34.06,0.22346904974073625,0.7940833634768236,,,0
39,ENSMUSG00000032181.8,Scg3,33.08,0.25998300895711823,0.8568005687100367,,,0
40,ENSMUSG00000036790.6,Slitrk2,32.76,0.1154873519700308,0.6698326796436856,,,0
41,ENSMUSG00000031285.15,Dcx,32.28,0.6403032550899586,0.8218483264712508,,,1
42,ENSMUSG00000038400.16,Pmepa1,32.25,0.29907978723990203,0.7748449206019079,,,0
